Comment,Designator,Footprint,LCSC,Quantity
10uF,"C11,C8",CAP-TH_BD5.0-P2.00-D0.8-FD,C106654,2
100nF,"C1,C10,C2,C4,C6,C9",C_Disc_D6.0mm_W2.5mm_P5.00mm,C110254,6
Conn_02x03_Odd_Even,J7,IDC-Header_2x03_P2.54mm_Vertical,C11214,1
2n2222,Q2,TO-92_Inline,C118536,1
1k,"R3,R4,R6",RES-TH_BD2.3-L6.5-P10.50-D0.5,C119324,3
10k,"R1,R2,R5,R7",RES-TH_BD2.3-L6.5-P10.50-D0.5,C119347,4
20k,R11,RES-TH_BD2.3-L6.5-P10.50-D0.5,C119353,1
51k,R9,RES-TH_BD2.3-L6.5-P10.50-D0.5,C119363,1
220nF,C5,C_Rect_L7.0mm_W2.5mm_P5.00mm,C125389,1
100uF,"C12,C7",CAP-TH_BD5.0-P2.00-D0.8-FD,C165586,2
300mA,"F1,J1,J2,J6,SW1",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,C239362,5
Conn_01x05,J5,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,C239365,1
Conn_01x06,J4,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,C239366,1
IRF4905,Q3,TO-220-3_Vertical,C2564,1
13V,D1,D_DO-35_SOD27_P7.62mm_Horizontal,C261229,1
Conn_01x03,J3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,C29275,1
2N2907,Q1,TO-92-3_L4.8-W3.7-P2.54-R,C358534,1
LM7805_TO220,U3,TO-220-3_Vertical,C3795,1
150,R8,RES-TH_BD2.3-L6.5-P10.50-D0.5,C385454,1
22uF,C3,CAP-TH_BD4.0-P1.50-D0.8-FD,C43845,1
ESP32-WROOM-32D,U1,ESP32-WROOM-32D,C473012,1
12,R10,RES-TH_BD4.5-L11.0-P15.00-D0.7,C479307,1
LM1117DT-ADJ,"U4,U5",TO-220-3_Vertical,C498319,2
1N4001,D3,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,C5359862,1
Conn_02x05_Odd_Even,J8,IDC-Header_2x05_P2.54mm_Vertical,C5665,1
6k8,R12,RES-TH_BD2.3-L6.5-P10.50-D0.5,C714012,1
LM393,U2,DIP-8_W7.62mm,C725322,1
10k,RV1,Potentiometer_Bourns_3386X_Horizontal,C780119,1
1k,"RV2,RV3",Potentiometer_Bourns_3386X_Horizontal,C780120,2
2N7000,Q4,TO-92_Inline,C9114,1
TIC106,D2,TO-220-3_Vertical,C9211,1
