Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_Disc_D6.0mm_W2.5mm_P5.00mm,201.975,-106.045,180.0,top
C10,100nF,C_Disc_D6.0mm_W2.5mm_P5.00mm,131.445,-85.895,90.0,top
C11,10uF,CAP-TH_BD5.0-P2.00-D0.8-FD,140.65,-104.215,90.0,top
C12,100uF,CAP-TH_BD5.0-P2.00-D0.8-FD,134.935,-103.675,90.0,top
C2,100nF,C_Disc_D6.0mm_W2.5mm_P5.00mm,152.4,-101.6,-90.0,top
C3,22uF,CAP-TH_BD4.0-P1.50-D0.8-FD,146.685,-91.44,90.0,top
C4,100nF,C_Disc_D6.0mm_W2.5mm_P5.00mm,152.4,-92.71,90.0,top
C5,220nF,C_Rect_L7.0mm_W2.5mm_P5.00mm,112.435,-104.31,180.0,top
C6,100nF,C_Disc_D5.0mm_W2.5mm_P5.00mm,104.775,-104.31,0.0,top
C7,100uF,CAP-TH_BD5.0-P2.00-D0.8-FD,156.21,-115.57,0.0,top
C8,10uF,CAP-TH_BD5.0-P2.00-D0.8-FD,149.86,-115.57,0.0,top
C9,100nF,C_Disc_D6.0mm_W2.5mm_P5.00mm,104.14,-87.165,90.0,top
D1,13V,D_DO-35_SOD27_P7.62mm_Horizontal,120.015,-87.165,-90.0,top
D2,TIC106,TO-220-3_Vertical,124.46,-87.165,-90.0,top
D3,1N4001,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,138.745,-85.09,-90.0,top
F1,300mA,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,114.3,-69.85,0.0,top
J1,Conn_01x02,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,105.41,-69.85,0.0,top
J2,Conn_01x02,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,123.19,-69.85,0.0,top
J3,Conn_01x03,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,201.295,-69.85,0.0,top
J4,Conn_01x06,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,109.22,-129.54,0.0,top
J5,Conn_01x05,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,170.18,-129.54,0.0,top
J6,Conn_01x02,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,204.47,-129.54,0.0,top
J7,Conn_02x03_Odd_Even,IDC-Header_2x03_P2.54mm_Vertical,184.785,-125.73,0.0,top
J8,Conn_02x05_Odd_Even,IDC-Header_2x05_P2.54mm_Vertical,135.7725,-123.19,0.0,top
Q1,2N2907,TO-92-3_L4.8-W3.7-P2.54-R,106.045,-120.65,180.0,top
Q2,2n2222,TO-92_Inline,114.3,-120.65,0.0,top
Q3,IRF4905,TO-220-3_Vertical,115.885,-87.165,90.0,top
Q4,2N7000,TO-92_Inline,197.485,-129.54,90.0,top
R1,10k,RES-TH_BD2.3-L6.5-P10.50-D0.5,194.95,-98.425,90.0,top
R10,12,RES-TH_BD4.5-L11.0-P15.00-D0.7,127.95,-103.04,-90.0,top
R11,20k,RES-TH_BD2.3-L6.5-P10.50-D0.5,122.235,-100.5,-90.0,top
R12,6k8,RES-TH_BD2.3-L6.5-P10.50-D0.5,117.79,-100.5,90.0,top
R2,10k,RES-TH_BD2.3-L6.5-P10.50-D0.5,190.505,-103.675,90.0,top
R3,1k,RES-TH_BD2.3-L6.5-P10.50-D0.5,111.125,-116.205,180.0,top
R4,1k,RES-TH_BD2.3-L6.5-P10.50-D0.5,121.92,-123.825,180.0,top
R5,10k,RES-TH_BD2.3-L6.5-P10.50-D0.5,146.685,-100.965,-90.0,top
R6,1k,RES-TH_BD2.3-L6.5-P10.50-D0.5,108.585,-88.9,90.0,top
R7,10k,RES-TH_BD2.3-L6.5-P10.50-D0.5,200.66,-123.19,0.0,top
R8,150,RES-TH_BD2.3-L6.5-P10.50-D0.5,201.76,-76.2,0.0,top
R9,51k,RES-TH_BD2.3-L6.5-P10.50-D0.5,186.06,-98.595,90.0,top
RV1,10k,Potentiometer_Bourns_3386X_Horizontal,201.935,-111.76,-90.0,top
RV2,1k,Potentiometer_Bourns_3386X_Horizontal,200.025,-82.55,90.0,top
RV3,1k,Potentiometer_Bourns_3386X_Horizontal,151.765,-128.905,90.0,top
SW1,Switch,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,132.08,-69.85,0.0,top
U1,ESP32-WROOM-32D,ESP32-WROOM-32D,166.795,-99.225,0.0,top
U2,LM393,DIP-8_W7.62mm,201.935,-97.155,0.0,top
U3,LM7805_TO220,TO-220-3_Vertical,106.995,-96.69,180.0,top
U4,LM1117DT-ADJ,TO-220-3_Vertical,137.475,-96.69,0.0,top
U5,LM1117DT-ADJ,TO-220-3_Vertical,151.765,-121.015,180.0,top
